AuthorID,Author,Date,Content,Attachments,Reactions,
3.22354E+17,J0rdan#2037,08/02/2019 12:56 AM,Hi all !,,,
5.85087E+17,0xn1mr0d,08/02/2019 1:04 AM,Helloooo,,,
4.57126E+17,pabloaave,08/02/2019 4:17 PM,Hey!,,,
5.39935E+17,El Macho#0691,09/10/2019 4:50 PM,There will be more information about the token swap on our next governance update,,,
5.39935E+17,El Macho#0691,09/10/2019 4:50 PM,?,,,
4.57126E+17,pabloaave,09/10/2019 5:15 PM,There will be a specific post about the token swap as soon as the technical details are fully defined,,,
3.95045E+17,davecraige,10/02/2019 7:24 AM,,https://cdn.discordapp.com/attachments/605528212239286312/628734046028955658/Screen_Shot_2019-10-01_at_5.24.25_PM.png,👀 (1),
3.95045E+17,davecraige,10/02/2019 7:25 AM,/ @Stani,,,
3.8033E+17,darko2740,10/02/2019 7:38 AM,Stani is probably asleep now,,,
6.04983E+17,Stani#3346,10/02/2019 7:39 AM,we woke up couple of hours ago in Tokyo 🙂,,,
3.8033E+17,darko2740,10/02/2019 7:39 AM,Oh ok then. Good morning I suppose :),,🙂 (1),
6.04983E+17,Stani#3346,10/02/2019 7:39 AM,There will be some interesting update coming about how we will structure governance for Aave DLPs,,,
3.8033E+17,darko2740,10/02/2019 7:40 AM,Will amount of tokens give someone more control over others with smaller amount?,,,
6.04983E+17,Stani#3346,10/02/2019 7:42 AM,in current vision all tokens will give control,,,
6.04983E+17,Stani#3346,10/02/2019 7:42 AM,we are researching on how we could add the deposits to DLPs including time to provide more control,,,
6.34483E+17,Burney#1639,10/22/2019 4:01 AM,"why are there a token swap,",,,
6.04983E+17,Stani#3346,10/22/2019 4:02 AM,we are improving our tokenomics to add the governance of the Aave Protocol,,,
6.04983E+17,Stani#3346,10/22/2019 4:02 AM,"voting on upgreadability, protocol level parameters etc",,,
6.34483E+17,Burney#1639,10/22/2019 4:05 AM,got it.,,,
6.34483E+17,Burney#1639,10/22/2019 4:05 AM,you guys building liquidity pools aswell?,,,
6.04983E+17,Stani#3346,10/22/2019 4:10 AM,"the lending pools are kind of liquidity pools as they allow to borrow 100% uncollateralized loans for one transaction, see more: https://twitter.com/The3D_/status/1182486591039655936",,,
